Entity,Code,Year,Biofuels Production - PJ - Total
Africa,,1990,0.07245726896464659
Africa,,1991,0.07245726896464659
Africa,,1992,0.07265578203030301
Africa,,1993,0.07245726896464659
Africa,,1994,0.07245726896464659
Africa,,1995,0.07245726896464659
Africa,,1996,0.07265578203030301
Africa,,1997,0.10868590344696957
Africa,,1998,0.10868590344696957
Africa,,1999,0.07245726896464659
Africa,,2000,0.07265578203030301
Africa,,2001,0.07245726896464659
Africa,,2002,0.35655904093164625
Africa,,2003,0.5013336278307174
Africa,,2004,0.5768367129471708
Africa,,2005,0.6297030479342937
Africa,,2006,0.6685683752698501
Africa,,2007,0.7029123346235846
Africa,,2008,0.5602867631226713
Africa,,2009,3.3245074791400224
Africa,,2010,3.4763941643839398
Africa,,2011,3.7799285850696993
Africa,,2012,2.695691054777255
Africa,,2013,2.754834836211748
Africa,,2014,3.070824262486834
Africa,,2015,4.156495430984908
Africa,,2016,4.534116365622387
Africa,,2017,4.7248504442691655
Africa,,2018,5.4342195404047935
Africa,,2019,5.791811121271497
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0.05320607745403125
Argentina,ARG,2001,0.10612141131541726
Argentina,ARG,2002,0.10612141131541726
Argentina,ARG,2003,0.10612141131541726
Argentina,ARG,2004,0.1064121549080622
Argentina,ARG,2005,0.10612141131541726
Argentina,ARG,2006,0.3545928684285762
Argentina,ARG,2007,2.013620369893324
Argentina,ARG,2008,7.116147155618893
Argentina,ARG,2009,11.965097066731605
Argentina,ARG,2010,19.893960143459385
Argentina,ARG,2011,25.84483617146678
Argentina,ARG,2012,26.502558565809085
Argentina,ARG,2013,23.83870417831209
Argentina,ARG,2014,30.58444836796801
Argentina,ARG,2015,23.461863309838048
Argentina,ARG,2016,32.76831052802356
Argentina,ARG,2017,36.23189919774645
Argentina,ARG,2018,31.70345403950322
Argentina,ARG,2019,28.550051648428603
Asia Pacific,,1990,0
Asia Pacific,,1991,0
Asia Pacific,,1992,0
Asia Pacific,,1993,0
Asia Pacific,,1994,0
Asia Pacific,,1995,0
Asia Pacific,,1996,0
Asia Pacific,,1997,0
Asia Pacific,,1998,0
Asia Pacific,,1999,0
Asia Pacific,,2000,1.0535088394393946
Asia Pacific,,2001,1.1399197401274073
Asia Pacific,,2002,3.034420874339758
Asia Pacific,,2003,6.87258116122006
Asia Pacific,,2004,6.942502933215042
Asia Pacific,,2005,10.936164081776989
Asia Pacific,,2006,17.72921997172338
Asia Pacific,,2007,24.261865229238182
Asia Pacific,,2008,38.69020285862059
Asia Pacific,,2009,40.13973406667906
Asia Pacific,,2010,43.10637965239809
Asia Pacific,,2011,68.91390270609196
Asia Pacific,,2012,82.89606957138678
Asia Pacific,,2013,99.10520252267082
Asia Pacific,,2014,119.57289792397125
Asia Pacific,,2015,100.18435537615409
Asia Pacific,,2016,114.1044202825971
Asia Pacific,,2017,118.25609852807398
Asia Pacific,,2018,150.56020982090288
Asia Pacific,,2019,182.18820468176608
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,0
Australia,AUS,1999,0
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0.534980427984
Australia,AUS,2004,0.3206962914460306
Australia,AUS,2005,0.31546157878741676
Australia,AUS,2006,0.5960331296628335
Australia,AUS,2007,1.1622655722759614
Australia,AUS,2008,1.8744558135662792
Australia,AUS,2009,2.6961584585676723
Australia,AUS,2010,2.103027984063672
Australia,AUS,2011,2.544166354717772
Australia,AUS,2012,2.693832959620644
Australia,AUS,2013,2.8450230805726435
Australia,AUS,2014,2.988112922798954
Australia,AUS,2015,2.6424205752705583
Australia,AUS,2016,2.2401821470179675
Australia,AUS,2017,1.4822253277287887
Australia,AUS,2018,1.7497155417207888
Australia,AUS,2019,1.8605576278789782
Austria,AUT,1990,0.07326905861520001
Austria,AUT,1991,0.08024706419760001
Austria,AUT,1992,0.0895510716408
Austria,AUT,1993,0.1011810809448
Austria,AUT,1994,0.0674540539632
Austria,AUT,1995,0.1302561042048
Austria,AUT,1996,0.1418861135088
Austria,AUT,1997,0.1535161228128
Austria,AUT,1998,0.16514613211680002
Austria,AUT,1999,0.18142814514240005
Austria,AUT,2000,0.2128243098161244
Austria,AUT,2001,0.21224282263083452
Austria,AUT,2002,0.26530352828854314
Austria,AUT,2003,0.3183642339462529
Austria,AUT,2004,0.5852668519943433
Austria,AUT,2005,0.8489712905233391
Austria,AUT,2006,1.273456935785006
Austria,AUT,2007,2.5808699329870946
Austria,AUT,2008,3.1250777778567507
Austria,AUT,2009,4.336844000350897
Austria,AUT,2010,4.544891969244
Austria,AUT,2011,4.5303647354
Austria,AUT,2012,4.5303647354
